	.ttf		40414	
image/jpeg	.jpe,.jpeg,.jpg,.pjpg,.jfif,.jfif-tbnl,.jif	images	1636644	JPEG is a popular raster image format well-suited to photographic images. It usually uses lossy DCT compression. It is named after the Joint Photographic Experts Group, the organization which developed the format. It is sometimes called JPEG1, JPEG-1, or JPEG 1992 to help disambiguate it.
text/plain	.conf,.def,.diff,.in,.ksh,.list,.log,.pl,.text,.txt,.sha256		1418539	
text/html	.htm,.html	documents	1229544	
text/xml			991687	
text/csv	.csv	data	864525	CSV (Comma Separated Values) is a text-based format typically used for the storage or exchange of database-like records. In Microsoft Windows systems, it will commonly open in Excel, but it is not a proprietary format and can be used in many other programs.
application/pdf	.pdf	documents	799814	Portable Document Format (PDF) is a document file format originally from Adobe, based on PostScript. It has many subsets.
image/tiff	.tif,.tiff	images	581189	TIFF, formerly known as Tag(ged) Image File Format, is an image format capable of storing multiple high quality images in a single file. <br /><br />A TIFF image may be uncompressed or use a compression scheme internally. Two of the most widely used compression schemes in TIFF files are lossless, including LZW and, for bitonal images CCITT Group 4, as used for facsimile transmission [fax]. JPEG baseline DCT-based lossy compression is also used.
application/vnd.ogc.wms_xml	.wms	geodata	539684	
application/octet-stream	.a,.bin,.bpk,.deploy,.dist,.distz,.dmg,.dms,.dump,.elc,.lha,.lrf,.lzh,.o,.obj,.pkg,.so		536684	This MIME type is used for binary files, it's usually a fallback for unknown/generic MIMEs with no specific designation.
application/json	.json	data	499432	JSON (JavaScript Object Notation) is widely used by web applications, mobile apps, and other programs to communicate between different systems (such as between a client and server). While it is named after JavaScript, there are libraries for many other programming and scripting languages to let them use this format as well. The geospatial format GeoJSON is based on JSON, as is the remote-procedure-call protocol JSON-RPC and the JSON-LD linked-data format. The IBM standard of JSONx is an XML implementation of JSON. I-JSON is a restricted profile of JSON for Internet use. JSON Web Tokens, JSON Web Encryption, and JSON Web Signatures are JSON-based formats for security-related functions.
application/vnd.google-earth.kml+xml	.kml		471345	
image/png	.png	images	410402	Portable Network Graphics (PNG) was devised starting in a discussion on newsgroup comp.graphics in 1995, with the first version of its specification released in 1996. The motivation for its creation was to create a free and unencumbered image format in the wake of the patent issue with GIF.
application/zip	.zip	archives	336661	ZIP is one of the most popular file compression formats. It was created in 1989 as the native format of the PKZIP program, which was introduced by Phil Katz in the wake of a lawsuit (which he lost) against him by the makers of the then-popular ARC program (and file format) for copyright and trademark infringement in an earlier program PKARC which had been file-compatible with ARC. <br /><br />This resulted in Katz creating a new file format, which rapidly overtook ARC in popularity (to a large extent because of BBS sysops, then the primary users of such compression, resenting the lawsuit). Many programs have been released for a variety of operating systems to compress and decompress ZIP files, and native support for the format is built into several popular operating systems.
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet	.xlsx		290443	
WWW:DOWNLOAD-1.0-http--download			228129	
text/tab-separated-values	.tsv	data	224341	
csv			190704	
json			190274	
SHAPE-ZIP			188756	
text/xml; subtype=gml/3.1.1			185813	
text/xml; subtype=gml/2.1.2			175827	
GML2			175824	
gml3			175824	
text/xml; subtype=gml/3.2			175755	
gml32			175755	
application/vnd.google-earth.kmz	.kmz	geodata	170728	
image/gif	.gif	images	169721	"Graphics Interchange Format (GIF) was introduced by the CompuServe online service in 1987, intended to provide a consistent and compact format for graphics to be downloaded on that service. Since the specifications were openly released, the format gained wide use in graphics software and on online services and bulletin board systems (BBSs), not just CompuServe; later it became a major Web graphic format. GIF's ability to have animation (unlike most still graphic formats) has caused it to gain some Internet notoriety and use in conjunction with ""memes""."
image/svg+xml	.svg,.svgz	images	165179	
application/atom+xml	.atom	data	163491	
image/geotiff	.geotiff	geodata	163399	
image/geotiff8			163399	
image/tiff8			163399	
application/xml	.xml,.xpdl,.xsl	data	156265	
application/vnd.geo+json	.geojson	geodata	145192	
image/png; mode=8bit			133941	
application/vnd.google-earth.kml+xml;mode=networklink			133235	
text/html; subtype=openlayers			131902	
application/rss+xml	.rss,.xml	data	131158	"The MIME used for RSS feeds (RSS 0.9x, 2.0, 3.0 and others). Many feeds end up being served as plain text/html however and _most_ parsers seem to be able to handle this discrepancy.    RSS is an XML-based document format for the syndication of web
   content so that it can be republished on other sites or downloaded
   periodically and presented to users. RSS is currently used for a number of applications, including news headline syndication, weblog content distribution, and the exchange of other timely information such as software release notes."
