mime	name	exts	default_mime	default_ext	categories	count
image/jpeg		.jpe,.jpeg,.jpg,.pjpg,.jfif,.jfif-tbnl,.jif		.jpg	images	1636644
text/plain		.txt,.text		.txt	documents	1418539
text/html		.htm,.html		html	documents	1229544
text/xml		.xml		.xml	data	991687
application/vnd.geospace	.g3w	.g3w	geodata	
text/csv		.csv		.csv	data	864525
application/pdf		.pdf		.pdf	documents	799814
image/tiff		.tif,.tiff		.tif	images	581189
application/vnd.ogc.wms_xml		.wms		.wms	geodata	539684
application/octet-stream		.bin				536684
application/json		.json		.json	data	499432
application/vnd.google-earth.kml+xml		.kml		.kml	geodata	471345
image/png		.png		.png	images	410402
application/zip		.zip		.zip	archives	336661
application/vnd.openxmlformats-officedocument.spreadsheetml.sheet		.xlsx		.xlsx	data	290443
text/tab-separated-values		.tsv		.tsv	data	224341
text/xml; subtype=gml/3.1.1		.gml		.gml	geodata	185813
text/xml; subtype=gml/2.1.2		.gml		.gml	geodata	175827
text/xml; subtype=gml/3.2		.gml		.gml	geodata	175755
application/vnd.google-earth.kmz		.kmz	application/vnd.google-earth.kml+xml	.kmz	geodata	170728
image/gif		.gif		.gif	images	169721
image/svg+xml		.svg,.svgz		.svg	images	165179
application/atom+xml		.atom		.atom	data	163491
image/geotiff		.geotiff		.geotiff	geodata,images	163399
image/geotiff8		.tif,.tiff	image/tiff	.geotiff	geodata,images	163399
image/tiff8		.tif,.tiff	image/tiff	.tif	images	163399
application/xml		.xml,.xpdl,.xsl	text/xml	.xml,.xpdl,.xsl	data	156265
application/vnd.geo+json		.geojson		.geojson	geodata	145192
image/png; mode=8bit		.png	image/png	.png	images	133941
application/vnd.google-earth.kml+xml;mode=networklink		.kml	application/vnd.google-earth.kml+xml	.kml	geodata	133235
text/html; subtype=openlayers		.html	text/html	.html	documents	131902
application/rss+xml		.rss,.xml		.rss	data	131158
application/gml+xml; version=3.2		.gml		.gml	geodata	129421
application/vnd.google-earth.kml xml		.kml	application/vnd.google-earth.kml+xml	.kml	geodata	125506
application/json;type=utfgrid		.json	application/json	.json	geodata	125433
image/vnd.jpeg-png		.png	image/png	.png	images	125174
application/vnd.ms-excel		.xla,.xlb,.xlc,.xlm,.xls,.xlt,.xlw		.xls	data	108583
text/html; subtype=openlayers3		.html	text/html	.html	documents	106539
text/html; subtype=openlayers2		.html	text/html	.html	documents	106539
application/x-netcdf		.cdf,.nc		.nc	data	101624
image/vnd.jpeg-png8		.png	image/png	.png	images	98550
application/rdf+xml		.rdf		.rdf	semweb	76270
